05-29 04:05:24.114 I/ReactNativeJS(31840): [perf] Perf diagnostics enabled
05-29 04:05:24.205 I/ReactNativeJS(31840): '[perf]', { label: 'Startup auth/session hydration',
05-29 04:07:41.959 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.354 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.419 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.420 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.423 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.659 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.794 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.819 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:42.931 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:43.013 I/ReactNativeJS(31840): '[perf]', { label: 'Home cache load',
05-29 04:07:48.393 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:07:50.028 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:05.712 I/ReactNativeJS(31840): '[perf]', { label: 'Home cache load',
05-29 04:08:06.074 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:06.170 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:06.172 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:06.412 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:06.572 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:09.090 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:11.435 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:11.826 I/ReactNativeJS(31840): '[perf]', { label: 'API request',
05-29 04:08:13.585 I/ReactNativeJS(31840): '[perf]', { label: 'Home cache load',
05-29 04:08:13.605 I/ReactNativeJS(31840): '[perf]', { label: 'Sync queue processing',
